"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Aboleth","MM'25","12","Large","Aberration","lawful evil","17","150 (20d10 + 40)","10 ft., Swim 40 ft.","21","9","15","18","15","18","Dex +3, Con +6, Int +8, Wis +6","History +12, Perception +10","","","","","Darkvision 120 ft., passive Perception 20","Deep Speech; telepathy 120 ft.","10 (XP 5,900, or 7,200 in lair; PB +4)","Amphibious. The aboleth can breathe air and water.
Eldritch Restoration. If destroyed, the aboleth gains a new body in 5d10 days, reviving with all its Hit Points in the Far Realm or another location chosen by the DM.
Legendary Resistance (3/Day, or 4/Day in Lair). If the aboleth fails a saving throw, it can choose to succeed instead.
Mucus Cloud. While underwater, the aboleth is surrounded by mucus. Constitution Saving Throw: DC 14, each creature in a 5-foot Emanation originating from the aboleth at the end of the aboleth's turn. Failure: The target is cursed. Until the curse ends, the target's skin becomes slimy, the target can breathe air and water, and it can't regain Hit Points unless it is underwater.While the cursed creature is outside a body of water, the creature takes 6 (1d12) Acid damage at the end of every 10 minutes unless moisture is applied to its skin before those minutes have passed.
Probing Telepathy. If a creature the aboleth can see communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires.","Multiattack. The aboleth makes two Tentacle attacks and uses either Consume Memories or Dominate Mind if available.
Tentacle. Melee Attack Roll: +9, reach 15 ft. Hit: 12 (2d6 + 5) Bludgeoning damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of four tentacles.
Consume Memories. Intelligence Saving Throw: DC 16, one creature within 30 feet that is Charmed or Grappled by the aboleth. Failure: 10 (3d6) Psychic damage. Success: Half damage. Failure or Success: The aboleth gains the target's memories if the target is a Humanoid and is reduced to 0 Hit Points by this action.
Dominate Mind (2/Day). Wisdom Saving Throw: DC 16, one creature the aboleth can see within 30 feet. Failure: The target has the Charmed condition until the aboleth dies or is on a different plane of existence from the target. While Charmed, the target acts as an ally to the aboleth and is under its control while within 60 feet of it. In addition, the aboleth and the target can communicate telepathically with each other over any distance.The target repeats the save whenever it takes damage as well as after every 24 hours it spends at least 1 mile away from the aboleth, ending the effect on itself on a success.","","","Lash. The aboleth makes one Tentacle attack.
Psychic Drain. If the aboleth has at least one creature Charmed or Grappled, it uses Consume Memories and regains 5 (1d10) Hit Points.","","","The region containing an aboleth's lair is warped by it, creating the following effects:Foul Water. Water sources within 1 mile of the lair are supernaturally fouled. Creatures other than the aboleth and its allies that drink such water must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.Psionic Projection. While in its lair, the aboleth can cast Project Image, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 16). When casting the spell this way, the spell's range is 1 mile, and the aboleth can use its telepathy as if it were in the illusion's space.If the aboleth dies or moves its lair elsewhere, these effects end immediately.","Underdark, Underwater","Relics"
"Adult Black Dragon","MM'25","39","Huge","Dragon (Chromatic)","chaotic evil","19","195 (17d12 + 85)","40 ft., Fly 80 ft., Swim 40 ft.","23","14","21","14","13","19","Dex +7, Wis +6","Perception +11, Stealth +7","","","acid","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 21","Common, Draconic","14 (XP 11,500, or 13,000 in lair; PB +5)","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Melf's Acid Arrow (level 3 version).
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 13 (2d6 + 6) Slashing damage plus 4 (1d8) Acid damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in a 60-foot-long, 5-foot-wide Line. Failure: 54 (12d8) Acid damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17, +9 to hit with spell attacks):At will: Detect Magic, Fear, Melf's Acid Arrow (level 3 version)1/day each: Speak with Dead, Vitriolic Sphere","","","Cloud of Insects. Dexterity Saving Throw: DC 17, one creature the dragon can see within 120 feet. Failure: 22 (4d10) Poison damage, and the target has Disadvantage on saving throws to maintain Concentration until the end of its next turn. Failure or Success: The dragon can't take this action again until the start of its next turn.
Frightful Presence. The dragon uses Spellcasting to cast Fear. The dragon can't take this action again until the start of its next turn.
Pounce. The dragon can move up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient black dragon's lair is warped by its presence, creating the following effects:Acrid Haze. Odorous and stifling fog covers the area within 1 mile of the lair, rendering that area Lightly Obscured. Travel for creatures other than the dragon and its allies takes twice the usual time in that area.Foul Water. Water sources within 1 mile of the lair are supernaturally fouled. A creature that drinks such water must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Swamp","Relics"
"Adult Blue Dragon","MM'25","49","Huge","Dragon (Chromatic)","lawful evil","19","212 (17d12 + 102)","40 ft., Burrow 30 ft., Fly 80 ft.","25","10","23","16","15","20","Dex +5, Wis +7","Perception +12, Stealth +5","","","lightning","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 22","Common, Draconic","16 (XP 15,000, or 18,000 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Shatter.
Rend. Melee Attack Roll: +12, reach 10 ft. Hit: 16 (2d8 + 7) Slashing damage plus 5 (1d10) Lightning damage.
Lightning Breath (Recharge 5–6). Dexterity Saving Throw: DC 19, each creature in a 90-foot-long, 5-foot-wide Line. Failure: 60 (11d10) Lightning damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 18):At will: Detect Magic, Invisibility, Mage Hand, Shatter1/day each: Scrying, Sending","","","Cloaked Flight. The dragon uses Spellcasting to cast Invisibility on itself, and it can fly up to half its Fly Speed. The dragon can't take this action again until the start of its next turn.
Sonic Boom. The dragon uses Spellcasting to cast Shatter. The dragon can't take this action again until the start of its next turn.
Tail Swipe. The dragon makes one Rend attack.","","","The region containing an adult or ancient blue dragon's lair is changed by its presence, creating the following effects:Sinkholes. Sinkholes form more frequently in the area within 1 mile of the lair. Whenever a creature in that area other than the dragon and its allies finishes a Long Rest, roll 1d20. On a 1, a sinkhole opens beneath the creature, and the creature must succeed on a DC 15 Dexterity saving throw or fall 2d4 × 10 feet into the sinkhole.Spiteful Storms. Dust devils and thunderstorms rage within 1 mile of the lair. The area is Lightly Obscured.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Coastal, Desert","Relics"
"Adult Brass Dragon","MM'25","55","Huge","Dragon (Metallic)","chaotic good","18","172 (15d12 + 75)","40 ft., Burrow 30 ft., Fly 80 ft.","23","10","21","14","13","17","Dex +5, Wis +6","History +7, Perception +11, Persuasion +8, Stealth +5","","","fire","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 21","Common, Draconic","13 (XP 10,000, or 11,500 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Sleep Breath or (B) Spellcasting to cast Scorching Ray.
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 17 (2d10 + 6) Slashing damage plus 4 (1d8) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in a 60-foot-long, 5-foot-wide Line. Failure: 45 (10d8) Fire damage. Success: Half damage.
Sleep Breath. Constitution Saving Throw: DC 18, each creature in a 60-foot Cone. Failure: The target has the Incapacitated condition until the end of its next turn, at which point it repeats the save. Second Failure: The target has the Unconscious condition for 10 minutes. This effect ends for the target if it takes damage or a creature within 5 feet of it takes an action to wake it.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 16):At will: Detect Magic, Minor Illusion, Scorching Ray, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell), Speak with Animals1/day each: Detect Thoughts, Control Weather","","","Blazing Light. The dragon uses Spellcasting to cast Scorching Ray.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.
Scorching Sands. Dexterity Saving Throw: DC 16, one creature the dragon can see within 120 feet. Failure: 27 (6d8) Fire damage, and the target's Speed is halved until the end of its next turn. Failure or Success: The dragon can't take this action again until the start of its next turn.","","","The area containing an adult or ancient brass dragon's lair is altered by its presence, creating the following effects:Mirages. While in its lair, the dragon can cast Major Image, requiring no Material components and using the same spellcasting ability as its Spellcasting action. When casting the spell this way, the spell's range is 1 mile, and the dragon doesn't need to see the spot where the illusion appears.Refreshing Water. Water within 1 mile of the lair is magically refreshing. A creature that drinks such water gains 2d4 Temporary Hit Points, and the dragon is immediately aware of the creature's presence.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Desert","Arcana"
"Adult Bronze Dragon","MM'25","59","Huge","Dragon (Metallic)","lawful good","18","212 (17d12 + 102)","40 ft., Fly 80 ft., Swim 40 ft.","25","10","23","16","15","20","Dex +5, Wis +7","Insight +7, Perception +12, Stealth +5","","","lightning","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 22","Common, Draconic","15 (XP 13,000, or 15,000 in lair; PB +5)","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Repulsion Breath or (B) Spellcasting to cast Guiding Bolt (level 2 version).
Rend. Melee Attack Roll: +12, reach 10 ft. Hit: 16 (2d8 + 7) Slashing damage plus 5 (1d10) Lightning damage.
Lightning Breath (Recharge 5–6). Dexterity Saving Throw: DC 19, each creature in a 90-foot-long, 5-foot-wide Line. Failure: 55 (10d10) Lightning damage. Success: Half damage.
Repulsion Breath. Strength Saving Throw: DC 19, each creature in a 30-foot Cone. Failure: The target is pushed up to 60 feet straight away from the dragon and has the Prone condition.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17, +10 to hit with spell attacks):At will: Detect Magic, Guiding Bolt (level 2 version), Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell), Speak with Animals, Thaumaturgy1/day each: Detect Thoughts, Water Breathing","","","Guiding Light. The dragon uses Spellcasting to cast Guiding Bolt (level 2 version).
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.
Thunderclap. Constitution Saving Throw: DC 17, each creature in a 20-foot-radius Sphere centered on a point the dragon can see within 90 feet. Failure: 10 (3d6) Thunder damage, and the target has the Deafened condition until the end of its next turn.","","","The region containing an adult or ancient bronze dragon's lair is changed by its presence, creating the following effects:Buoying Currents. Creatures within 1 mile of the lair that lack a Swim Speed ignore the extra cost of movement while swimming.Sun and Storms. While in its lair, the dragon can cast Control Weather, requiring no Material components and using the same spellcasting ability as its Spellcasting action. When casting the spell this way, the dragon can control the weather within 1 mile of its lair, regardless if the dragon is inside or outside.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Coastal","Implements"
"Adult Copper Dragon","MM'25","79","Huge","Dragon (Metallic)","chaotic good","18","184 (16d12 + 80)","40 ft., Climb 40 ft., Fly 80 ft.","23","12","21","18","15","18","Dex +6, Wis +7","Deception +9, Perception +12, Stealth +6","","","acid","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 22","Common, Draconic","14 (XP 11,500, or 13,000 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Slowing Breath or (B) Spellcasting to cast Mind Spike (level 4 version).
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 17 (2d10 + 6) Slashing damage plus 4 (1d8) Acid damage.
Acid Breath (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in an 60-foot-long, 5-foot-wide Line. Failure: 54 (12d8) Acid damage. Success: Half damage.
Slowing Breath. Constitution Saving Throw: DC 18, each creature in a 60-foot Cone. Failure: The target can't take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. This effect lasts until the end of its next turn.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):At will: Detect Magic, Mind Spike (level 4 version), Minor Illusion, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)1/day each: Greater Restoration, Major Image","","","Giggling Magic. Charisma Saving Throw: DC 17, one creature the dragon can see within 90 feet. Failure: 24 (7d6) Psychic damage. Until the end of its next turn, the target rolls 1d6 whenever it makes an ability check or attack roll and subtracts the number rolled from the D20 Test. Failure or Success: The dragon can't take this action again until the start of its next turn.
Mind Jolt. The dragon uses Spellcasting to cast Mind Spike (level 4 version). The dragon can't take this action again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient copper dragon's lair is changed by its presence, creating the following effects:Chatty Critters. Tiny Beasts magically gain the ability to speak and understand Draconic while within 6 miles of the lair.Giggle Fits. Whenever a creature other than the dragon and its allies is within 1 mile of the lair and rolls a 1 on a D20 Test, it must succeed on a DC 15 Wisdom saving throw or have the Incapacitated condition until the end of its next turn, as it is wracked with laughter.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Hill","Arcana"
"Adult Gold Dragon","MM'25","145","Huge","Dragon (Metallic)","lawful good","19","243 (18d12 + 126)","40 ft., Fly 80 ft., Swim 40 ft.","27","14","25","16","15","24","Dex +8, Wis +8","Insight +8, Perception +14, Persuasion +13, Stealth +8","","","fire","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 24","Common, Draconic","17 (XP 18,000, or 20,000 in lair; PB +6)","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Spellcasting to cast Guiding Bolt (level 2 version) or (B) Weakening Breath.
Rend. Melee Attack Roll: +14, reach 10 ft. Hit: 17 (2d8 + 8) Slashing damage plus 4 (1d8) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw: DC 21, each creature in a 60-foot Cone. Failure: 66 (12d10) Fire damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 21, +13 to hit with spell attacks):At will: Detect Magic, Guiding Bolt (level 2 version), Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)1/day each: Flame Strike, Zone of Truth
Weakening Breath. Strength Saving Throw: DC 21, each creature that isn't currently affected by this breath in a 60-foot Cone. Failure: The target has Disadvantage on Strength-based D20 Tests and subtracts 3 (1d6) from its damage rolls. It repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.","","","Banish. Charisma Saving Throw: DC 21, one creature the dragon can see within 120 feet. Failure: 10 (3d6) Force damage, and the target has the Incapacitated condition and is transported to a harmless demiplane until the start of the dragon's next turn, at which point it reappears in an unoccupied space of the dragon's choice within 120 feet of the dragon. Failure or Success: The dragon can't take this action again until the start of its next turn.
Guiding Light. The dragon uses Spellcasting to cast Guiding Bolt (level 2 version).
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient gold dragon's lair is altered by its presence, creating the following effects:Dream Messenger. While in its lair, the dragon can cast Dream, requiring no Material components and using Charisma as the spellcasting ability. When casting the spell this way, the dragon can target any creature within 6 miles.Foretelling Fog. The area within 1 mile of the lair is Lightly Obscured by opalescent fog. While in that area, creatures can't be surprised, as the fog swirls into shapes that warn of danger.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Forest, Grassland","Arcana"
"Adult Green Dragon","MM'25","153","Huge","Dragon (Chromatic)","lawful evil","19","207 (18d12 + 90)","40 ft., Fly 80 ft., Swim 40 ft.","23","12","21","18","15","18","Dex +6, Wis +7","Deception +9, Perception +12, Persuasion +9, Stealth +6","","","poison","poisoned","Blindsight 60 ft., Darkvision 120 ft., passive Perception 22","Common, Draconic","15 (XP 13,000, or 15,000 in lair; PB +5)","Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Mind Spike (level 3 version).
Rend. Melee Attack Roll: +11, reach 10 ft. Hit: 15 (2d8 + 6) Slashing damage plus 7 (2d6) Poison damage.
Poison Breath (Recharge 5–6). Constitution Saving Throw: DC 18, each creature in a 60-foot Cone. Failure: 56 (16d6) Poison damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):At will: Detect Magic, Mind Spike (level 3 version)1/day: Geas","","","Mind Invasion. The dragon uses Spellcasting to cast Mind Spike (level 3 version).
Noxious Miasma. Constitution Saving Throw: DC 17, each creature in a 20-foot-radius Sphere centered on a point the dragon can see within 90 feet. Failure: 7 (2d6) Poison damage, and the target takes a -2 penalty to AC until the end of its next turn. Failure or Success: The dragon can't take this action again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient green dragon's lair is warped by its presence, creating the following effects:Beast Spies. Tiny Beasts magically gain the ability to understand Draconic and can communicate telepathically with the dragon while within 1 mile of the lair.Poisonous Thicket. Ordinary plants growing within 1 mile of the lair poison the air around them. Whenever a creature other than the dragon or its allies finishes a Long Rest in that area, it must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Forest","Arcana"
"Adult Red Dragon","MM'25","255","Huge","Dragon (Chromatic)","chaotic evil","19","256 (19d12 + 133)","40 ft., Climb 40 ft., Fly 80 ft.","27","10","25","16","13","23","Dex +6, Wis +7","Perception +13, Stealth +6","","","fire","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 23","Common, Draconic","17 (XP 18,000, or 20,000 in lair; PB +6)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Scorching Ray.
Rend. Melee Attack Roll: +14, reach 10 ft. Hit: 13 (1d10 + 8) Slashing damage plus 5 (2d4) Fire damage.
Fire Breath (Recharge 5–6). Dexterity Saving Throw: DC 21, each creature in a 60-foot Cone. Failure: 59 (17d6) Fire damage. Success: Half damage.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 20, +12 to hit with spell attacks):At will: Command (level 2 version), Detect Magic, Scorching Ray1/day: Fireball","","","Commanding Presence. The dragon uses Spellcasting to cast Command (level 2 version). The dragon can't take this action again until the start of its next turn.
Fiery Rays. The dragon uses Spellcasting to cast Scorching Ray. The dragon can't take this action again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient red dragon's lair is warped by its presence, creating the following effects:Burning Heat. The area within 1 mile of the lair is an area of extreme heat. A burning creature or object takes an additional 1d4 Fire damage at the start of each of its turns.Smoldering Haze. The area within 1 mile of the lair is Lightly Obscured with clouds of ash. Whenever a creature other than the dragon or one of its allies finishes a Long Rest in that area, that creature must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Hill, Mountain","Any"
"Adult Silver Dragon","MM'25","279","Huge","Dragon (Metallic)","lawful good","19","216 (16d12 + 112)","40 ft., Fly 80 ft.","27","10","25","16","13","22","Dex +5, Wis +6","History +8, Perception +11, Stealth +5","","","cold","","Blindsight 60 ft., Darkvision 120 ft., passive Perception 21","Common, Draconic","16 (XP 15,000, or 18,000 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes three Rend attacks. It can replace one attack with a use of (A) Paralyzing Breath or (B) Spellcasting to cast Ice Knife.
Rend. Melee Attack Roll: +13, reach 10 ft. Hit: 17 (2d8 + 8) Slashing damage plus 4 (1d8) Cold damage.
Cold Breath (Recharge 5–6). Constitution Saving Throw: DC 20, each creature in a 60-foot Cone. Failure: 54 (12d8) Cold damage. Success: Half damage.
Paralyzing Breath. Constitution Saving Throw: DC 20, each creature in a 60-foot Cone. First Failure: The target has the Incapacitated condition until the end of its next turn, when it repeats the save. Second Failure: The target has the Paralyzed condition, and it repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
Spellcasting. The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 19, +11 to hit with spell attacks):At will: Detect Magic, Hold Monster, Ice Knife, Shapechange (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)1/day each: Ice Storm (level 5 version), Zone of Truth","","","Chill. The dragon uses Spellcasting to cast Hold Monster. The dragon can't take this action again until the start of its next turn.
Cold Gale. Dexterity Saving Throw: DC 19, each creature in a 60-foot-long, 10-foot-wide Line. Failure: 14 (4d6) Cold damage, and the target is pushed up to 30 feet straight away from the dragon. Success: Half damage only. Failure or Success: The dragon can't take this action again until the start of its next turn.
Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.","","","The region containing an adult or ancient silver dragon's lair is changed by its magic, creating the following effects:Gentle Gusts. Winds buoy creatures that fall within 1 mile of the lair. Such creatures descend at a rate of 60 feet per round and take no damage from falling.Sun and Storms. While in its lair, the dragon can cast Control Weather, requiring no Material components and using the same spellcasting ability as its Spellcasting action.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Mountain, Urban","Arcana"
